"judge","crtpoint","numjudge","circuit","state","statdist","month","year","libcon","apyear","party","gender","race","dem_appointed","admin"
9009,216,1,9,3,31,5,1962,1,1953,0,1,1,0,1
5012,135,1,5,10,102,5,1962,0,1954,0,1,1,0,1
7037,172,1,7,13,132,7,1962,1,1956,0,1,1,0,1
2014,159,22,2,32,322,7,1962,0,1956,0,1,1,0,1
7006,204,2,7,14,141,9,1962,0,1962,1,1,1,1,1
3062,152,5,3,30,301,9,1962,1,1942,1,1,1,1,1
88025,230,14,88,55,551,12,1962,1,1949,1,1,1,1,1
2103,159,23,2,32,322,1,1963,1,1950,1,1,1,1,1
2013,37,8,2,32,323,3,1963,1,1953,0,1,1,0,1
2034,159,22,2,32,322,3,1963,1,1954,0,1,1,0,1
9054,193,7,9,5,51,3,1963,0,1946,1,1,1,1,1
5119,115,3,5,9,93,12,1962,0,1950,1,1,1,1,1
2022,159,23,2,32,322,8,1962,1,1955,0,1,1,0,1
6024,74,7,6,22,221,5,1963,1,1954,0,1,1,0,1
2100,159,23,2,32,322,6,1963,1,1962,0,1,1,1,1
2036,37,8,2,32,323,8,1963,1,1961,1,1,1,1,1
2039,159,23,2,32,322,9,1963,1,1961,1,1,1,1,1
7006,105,1,7,14,141,11,1963,1,1962,1,1,1,1,1
3053,173,10,3,38,381,12,1963,1,1961,1,1,1,1,1
9027,131,10,9,5,52,11,1963,1,1962,0,1,1,1,1
3047,223,1,3,30,301,1,1964,1,1960,0,1,1,0,1
4016,200,1,4,33,333,2,1964,0,1961,1,1,1,1,1
3073,175,6,3,38,383,2,1964,1,1962,1,1,1,1,1
3098,237,3,3,8,81,4,1964,0,1955,0,1,1,0,1
7049,55,10,7,13,131,5,1964,1,1959,0,1,1,0,1
3077,198,2,3,38,382,6,1964,1,1961,1,1,1,1,1
5024,141,3,5,9,93,2,1963,0,1954,0,1,1,0,1
3047,223,1,3,30,301,9,1964,1,1960,0,1,1,0,1
2100,159,22,2,32,322,11,1964,0,1962,0,1,1,1,1
4020,49,1,4,48,482,2,1965,0,1959,0,1,1,0,1
5069,124,1,5,18,183,1,1964,0,1954,1,1,1,0,1
2004,37,8,2,32,323,2,1965,1,1959,0,1,1,0,1
2004,37,8,2,32,323,2,1965,1,1959,0,1,1,0,1
2007,108,2,2,7,71,3,1965,1,1961,1,1,1,1,1
3097,152,5,3,30,301,3,1965,1,1955,0,1,1,0,1
88016,230,13,88,55,551,10,1966,1,1945,3,1,1,1,1
8076,128,1,8,27,271,1,1966,1,1957,0,1,1,0,1
2098,36,1,2,7,71,1,1967,1,1960,0,1,1,0,1
6008,140,2,6,42,423,5,1967,0,1961,1,1,1,1,1
7026,27,1,7,13,133,5,1967,0,1956,0,1,1,0,1
8030,120,4,8,25,252,7,1967,1,1965,1,1,1,1,1
10014,72,3,10,6,61,6,1967,0,1961,1,1,1,1,1
3073,175,6,3,38,383,8,1967,1,1962,1,1,1,1,1
4060,21,5,4,20,201,10,1967,1,1954,0,1,1,0,1
2096,159,23,2,32,322,9,1967,1,1963,1,1,1,1,1
4031,200,1,4,33,333,12,1967,1,1967,1,1,1,1,1
2100,159,23,2,32,322,1,1968,0,1962,0,1,1,1,1
1027,34,6,1,21,211,12,1967,1,1967,1,1,1,1,1
8002,120,4,8,25,252,1,1968,0,1961,1,1,1,1,1
7014,93,1,7,14,141,1,1968,1,1962,0,1,1,1,1
5047,68,3,5,43,431,3,1968,1,1955,0,1,1,0,1
3081,237,3,3,8,81,4,1968,1,1958,0,1,1,0,1
2075,37,8,2,32,323,5,1968,1,1960,3,1,1,0,1
4060,21,5,4,20,201,7,1968,1,1954,0,1,1,0,1
2104,37,8,2,32,323,7,1968,0,1967,1,1,1,1,1
9050,131,12,9,5,54,6,1968,1,1966,0,1,1,1,1
2072,159,24,2,32,322,10,1968,0,1966,0,1,1,1,1
5068,68,3,5,43,431,9,1968,1,1962,1,0,1,1,1
9129,224,1,9,3,31,11,1968,1,1952,1,1,1,1,1
7039,172,1,7,13,133,12,1968,1,1967,0,1,1,1,1
8027,129,2,8,4,43,1,1969,0,1959,0,1,1,0,1
1015,34,6,1,21,211,11,1968,1,1966,1,1,1,1,1
3098,237,3,3,8,81,11,1968,1,1955,0,1,1,0,1
5092,157,7,5,18,181,3,1969,0,1966,1,1,1,1,1
7049,55,11,7,13,131,3,1969,1,1959,0,1,1,0,1
6041,118,1,6,22,222,7,1969,0,1954,0,1,1,0,1
3048,237,3,3,8,81,8,1969,0,1968,1,1,1,1,1
8002,120,4,8,25,252,6,1969,0,1961,1,1,1,1,1
4027,63,1,4,40,403,10,1969,1,1964,1,1,1,1,1
10014,72,3,10,6,61,11,1969,1,1961,1,1,1,1,1
10014,72,3,10,6,61,12,1969,1,1961,1,1,1,1,1
3048,237,2,3,8,81,1,1970,0,1968,1,1,1,1,0
5062,15,2,5,10,101,12,1969,1,1968,1,1,1,1,1
5008,141,5,5,9,93,4,1970,0,1966,1,1,1,1,0
8044,143,3,8,23,231,7,1970,1,1967,1,1,1,1,0
3035,173,11,3,38,381,7,1970,0,1969,0,1,1,0,0
5022,157,7,5,18,181,7,1970,1,1966,1,1,1,1,0
4031,200,1,4,33,333,8,1970,1,1967,1,1,1,1,0
3048,237,3,3,8,81,10,1970,1,1968,1,1,1,1,0
9007,177,3,9,37,371,10,1970,0,1967,1,1,1,1,0
9006,199,1,9,47,472,9,1970,0,1961,1,1,1,1,0
3026,173,15,3,38,381,10,1970,1,1966,1,1,1,1,0
9140,193,9,9,5,51,11,1970,0,1958,0,1,1,0,0
88007,230,15,88,55,551,12,1970,1,1946,1,1,1,1,0
3094,152,6,3,30,301,9,1970,1,1967,1,1,1,1,0
1016,176,1,1,19,191,12,1970,1,1957,0,1,1,0,0
5136,24,1,5,18,181,3,1971,0,1961,1,1,1,1,0
1015,34,6,1,21,211,3,1971,1,1966,1,1,1,1,0
88029,230,15,88,55,551,1,1971,1,1969,0,1,2,0,0
10035,190,2,10,44,441,9,1970,0,1950,1,1,1,1,0
9098,12,2,9,2,21,3,1971,1,1961,1,1,1,1,0
88015,230,15,88,55,551,4,1970,1,1959,0,1,1,0,0
8019,129,2,8,4,41,2,1971,1,1970,0,1,1,0,0
88010,230,15,88,55,551,4,1971,0,1965,0,1,1,1,0
5008,141,7,5,9,93,4,1971,0,1966,1,1,1,1,0
10010,163,4,10,36,364,8,1970,1,1943,1,1,1,1,0
9006,199,2,9,47,472,4,1971,0,1961,1,1,1,1,0
7044,55,12,7,13,131,5,1971,1,1951,1,1,1,1,0
1016,176,1,1,19,191,6,1971,1,1957,0,1,1,0,0
88029,230,15,88,55,551,4,1971,1,1969,0,1,2,0,0
10027,7,3,10,31,311,6,1971,0,1970,0,1,1,0,0
7006,105,1,7,14,141,11,1970,1,1962,1,1,1,1,0
3048,237,3,3,8,81,6,1971,1,1968,1,1,1,1,0
1027,34,5,1,21,211,4,1971,0,1967,1,1,1,1,0
9006,199,2,9,47,473,4,1971,0,1961,1,1,1,1,0
6086,53,1,6,42,421,5,1971,0,1961,1,1,1,1,0
3014,44,2,3,30,301,6,1971,1,1962,0,1,1,1,0
7012,136,1,7,49,492,7,1971,0,1965,1,1,1,1,0
3083,175,7,3,38,383,7,1971,1,1970,0,1,1,0,0
88033,230,14,88,55,551,9,1971,0,1971,0,1,1,0,0
5090,141,7,5,9,93,9,1971,1,1965,1,1,1,1,0
4050,21,7,4,20,201,1,1971,0,1961,1,1,1,1,0
88038,230,14,88,55,551,9,1971,1,1966,0,1,1,1,0
4004,48,1,4,40,403,9,1971,0,1971,1,1,1,0,0
5114,115,3,5,9,92,7,1971,0,1966,1,1,1,1,0
9120,193,9,9,5,51,10,1971,1,1959,0,1,1,0,0
9120,193,9,9,5,51,10,1971,1,1959,0,1,1,0,0
88011,230,15,88,55,551,7,1971,1,1967,1,1,1,1,0
3015,152,6,3,30,301,9,1971,1,1962,1,1,1,1,0
5060,111,6,5,43,432,9,1971,1,1942,3,1,1,1,0
8045,203,1,8,41,411,11,1971,1,1965,1,1,1,1,0
5095,15,5,5,10,101,11,1971,1,1970,0,1,1,0,0
88034,230,15,88,55,551,12,1971,1,1966,1,1,2,1,0
10041,222,1,10,16,161,11,1971,0,1962,0,1,1,1,0
6008,140,3,6,42,423,1,1972,1,1961,1,1,1,1,0
10006,7,3,10,31,311,12,1971,0,1964,1,1,1,1,0
9120,193,9,9,5,51,4,1971,1,1959,0,1,1,0,0
7012,136,1,7,49,492,1,1972,1,1965,1,1,1,1,0
1016,176,1,1,19,191,1,1972,0,1957,0,1,1,0,0
7012,136,1,7,49,492,12,1971,1,1965,1,1,1,1,0
7012,136,1,7,49,492,12,1971,1,1965,1,1,1,1,0
4011,89,1,4,40,403,12,1971,1,1971,0,1,1,0,0
88033,230,15,88,55,551,12,1971,1,1971,0,1,1,0,0
88033,230,15,88,55,551,12,1971,1,1971,0,1,1,0,0
88033,230,15,88,55,551,2,1972,0,1971,0,1,1,0,0
88029,230,15,88,55,551,12,1971,1,1969,0,1,2,0,0
9098,12,2,9,2,21,10,1971,0,1961,1,1,1,1,0
5123,96,1,5,10,101,3,1972,1,1965,1,1,1,1,0
88038,230,15,88,55,551,3,1972,1,1966,0,1,1,1,0
6075,121,1,6,42,421,1,1972,1,1950,1,1,1,1,0
6008,140,3,6,42,423,3,1972,1,1961,1,1,1,1,0
5062,15,5,5,10,101,3,1972,0,1968,1,1,1,1,0
4023,101,1,4,33,332,2,1972,0,1964,1,1,1,1,0
2078,159,21,2,32,322,10,1971,1,1966,1,0,2,1,0
2078,159,21,2,32,322,12,1971,1,1966,1,0,2,1,0
5099,111,6,5,43,432,3,1972,0,1962,1,1,1,1,0
3004,223,2,3,30,301,2,1972,1,1969,0,1,1,0,0
9050,131,16,9,5,54,4,1970,1,1966,0,1,1,1,0
88040,230,15,88,55,551,1,1972,0,1967,1,1,2,1,0
9028,95,1,9,5,53,1,1972,0,1959,0,1,1,0,0
9096,194,1,9,5,51,3,1972,0,1966,1,1,1,1,0
4035,153,1,4,33,331,3,1972,1,1961,1,1,1,1,0
9108,193,10,9,5,51,4,1972,0,1970,0,1,1,0,0
7018,142,2,7,49,491,4,1972,1,1967,1,1,1,1,0
1035,195,2,1,51,511,5,1972,1,1970,0,1,3,0,0
1027,34,4,1,21,211,4,1972,1,1967,1,1,1,1,0
3080,237,3,3,8,81,5,1972,1,1970,0,1,1,0,0
8019,129,2,8,4,41,5,1972,0,1970,0,1,1,0,0
5137,157,9,5,18,181,3,1972,0,1971,0,1,1,0,0
1002,66,1,1,29,291,5,1972,1,1968,1,1,1,1,0
1027,34,3,1,21,211,4,1972,1,1967,1,1,1,1,0
88031,230,15,88,55,551,6,1972,1,1968,1,1,1,1,0
4008,9,2,4,46,461,5,1972,0,1971,1,1,1,0,0
4046,21,7,4,20,201,6,1972,1,1970,0,1,1,0,0
6032,46,1,6,17,171,7,1972,0,1972,0,1,1,0,0
8065,144,1,8,34,341,7,1972,0,1971,0,1,1,0,0
5083,30,4,5,1,11,7,1972,0,1946,1,1,1,1,0
7012,136,1,7,49,492,6,1972,0,1965,1,1,1,1,0
7036,55,12,7,13,131,5,1972,1,1963,1,1,1,1,0
5078,218,2,5,9,92,7,1972,1,1967,1,1,1,1,0
8060,73,1,8,15,152,8,1972,1,1971,0,1,1,0,0
88017,230,15,88,55,551,6,1972,1,1962,1,1,1,1,0
5141,133,1,5,43,431,6,1972,0,1968,1,1,1,1,0
3048,237,3,3,8,81,7,1972,1,1968,1,1,1,1,0
8067,213,4,8,25,253,8,1972,0,1970,0,1,1,0,0
7048,142,2,7,49,491,6,1972,1,1965,1,1,1,1,0
2063,159,24,2,32,322,5,1972,1,1968,1,1,1,1,0
2081,108,3,2,7,71,7,1972,1,1971,1,1,1,0,0
4044,184,1,4,46,461,8,1972,1,1967,1,1,1,1,0
5043,15,5,5,10,101,8,1972,0,1967,1,1,1,1,0
8037,212,4,8,25,251,8,1972,0,1962,1,1,1,1,0
5018,111,6,5,43,432,8,1972,1,1970,1,1,1,0,0
9120,193,10,9,5,51,9,1972,1,1959,0,1,1,0,0
8047,120,4,8,25,252,9,1972,0,1962,1,1,1,1,0
5114,115,3,5,9,92,9,1972,0,1966,1,1,1,1,0
5073,102,1,5,24,241,8,1972,0,1968,1,1,1,1,0
3046,152,4,3,30,301,10,1972,1,1971,0,1,1,0,0
10001,190,2,10,44,441,6,1972,0,1971,0,1,1,0,0
8035,47,1,8,15,151,8,1972,0,1962,1,1,1,1,0
4017,185,2,4,46,462,8,1972,0,1959,0,1,1,0,0
3074,175,8,3,38,383,9,1972,1,1971,0,1,1,0,0
2063,159,24,2,32,322,8,1972,1,1968,1,1,1,1,0
9142,193,10,9,5,51,10,1972,1,1961,1,1,1,1,0
9069,110,2,9,11,111,10,1972,1,1972,0,1,1,0,0
88038,230,15,88,55,551,10,1972,0,1966,0,1,1,1,0
88004,230,15,88,55,551,8,1972,1,1965,1,1,2,1,0
9006,199,3,9,47,472,3,1972,1,1961,1,1,1,1,0
9006,199,3,9,47,472,8,1972,1,1961,1,1,1,1,0
9006,199,3,9,47,472,8,1972,1,1961,1,1,1,1,0
9006,199,3,9,47,472,8,1972,1,1961,1,1,1,1,0
7048,142,2,7,49,491,11,1972,1,1965,1,1,1,1,0
4042,82,1,4,48,481,10,1972,0,1965,1,1,1,1,0
4044,184,1,4,46,461,11,1972,0,1967,1,1,1,1,0
7043,55,12,7,13,131,10,1972,1,1961,1,1,2,1,0
2081,108,3,2,7,71,10,1972,1,1971,1,1,1,0,0
9120,193,9,9,5,51,12,1972,1,1959,0,1,1,0,0
9104,193,9,9,5,51,11,1972,0,1971,1,1,1,0,0
10046,72,4,10,6,61,12,1972,0,1970,0,1,1,0,0
88011,230,15,88,55,551,1,1973,1,1967,1,1,1,1,0
9102,131,16,9,5,54,7,1972,1,1967,1,1,1,1,0
9069,110,2,9,11,111,12,1972,1,1972,0,1,1,0,0
7018,142,2,7,49,491,11,1972,1,1967,1,1,1,1,0
2007,108,3,2,7,71,12,1972,0,1961,1,1,1,1,0
6032,46,1,6,17,171,1,1973,0,1972,0,1,1,0,0
6042,65,1,6,35,352,12,1972,0,1966,1,1,1,1,0
8044,143,3,8,23,231,1,1973,1,1967,1,1,1,1,0
9069,110,2,9,11,111,1,1973,1,1972,0,1,1,0,0
5120,111,6,5,43,432,1,1973,1,1966,1,1,1,1,0
1004,34,5,1,21,211,8,1972,0,1961,0,1,1,1,0
88009,230,15,88,55,551,2,1973,1,1971,0,1,1,0,0
10013,163,4,10,36,364,2,1973,1,1962,1,1,1,1,0
4013,112,1,4,48,483,1,1973,1,1964,1,1,1,1,0
1004,34,5,1,21,211,2,1973,0,1961,0,1,1,1,0
2078,159,24,2,32,322,1,1973,1,1966,1,0,2,1,0
9120,193,9,9,5,51,10,1972,1,1959,0,1,1,0,0
2047,159,24,2,32,322,2,1973,1,1971,0,1,1,0,0
2070,159,24,2,32,322,2,1973,1,1959,0,1,1,0,0
4035,153,1,4,33,331,2,1973,1,1961,1,1,1,1,0
5100,15,5,5,10,101,3,1973,0,1970,0,1,1,0,0
5079,197,1,5,10,103,3,1973,1,1968,1,1,1,1,0
2047,159,24,2,32,322,2,1973,0,1971,0,1,1,0,0
7005,55,12,7,13,131,11,1972,0,1971,0,1,1,0,0
3086,173,17,3,38,381,3,1973,1,1970,0,1,1,0,0
9104,193,9,9,5,51,3,1973,0,1971,1,1,1,0,0
9069,110,2,9,11,111,3,1973,0,1972,0,1,1,0,0
1016,176,1,1,19,191,3,1973,0,1957,0,1,1,0,0
7034,55,12,7,13,131,2,1973,1,1971,0,1,1,0,0
9069,110,2,9,11,111,3,1973,0,1972,0,1,1,0,0
4044,184,1,4,46,461,4,1973,1,1967,1,1,1,1,0
3046,152,5,3,30,301,3,1973,1,1971,0,1,1,0,0
7043,55,12,7,13,131,2,1973,0,1961,1,1,2,1,0
88034,230,15,88,55,551,3,1973,0,1966,1,1,2,1,0
2099,37,8,2,32,323,4,1973,0,1968,1,1,1,1,0
6008,140,3,6,42,423,4,1973,1,1961,1,1,1,1,0
1016,176,1,1,19,191,4,1973,1,1957,0,1,1,0,0
9089,174,3,9,3,31,4,1973,0,1964,1,1,1,1,0
4035,153,1,4,33,331,5,1973,0,1961,1,1,1,1,0
8034,143,3,8,23,231,4,1973,1,1966,1,1,1,1,0
88010,230,15,88,55,551,5,1973,1,1965,0,1,1,1,0
5122,1,1,5,24,241,2,1973,1,1968,1,1,1,1,0
7012,136,1,7,49,492,5,1973,1,1965,1,1,1,1,0
5031,67,1,5,43,432,2,1973,0,1970,0,1,1,0,0
4017,185,2,4,46,462,4,1973,0,1959,0,1,1,0,0
88034,230,15,88,55,551,5,1973,1,1966,1,1,2,1,0
4044,184,1,4,46,461,5,1973,0,1967,1,1,1,1,0
3014,44,2,3,30,301,6,1973,1,1962,0,1,1,1,0
88011,230,15,88,55,551,5,1972,0,1967,1,1,1,1,0
10024,54,1,10,50,501,6,1973,0,1956,0,1,1,0,0
5018,111,6,5,43,432,2,1973,1,1970,1,1,1,0,0
10035,190,2,10,44,441,4,1973,1,1950,1,1,1,1,0
2041,159,24,2,32,322,6,1973,1,1965,1,1,1,1,0
10042,234,2,10,16,161,6,1973,1,1967,1,1,1,1,0
88031,230,15,88,55,551,6,1973,1,1968,1,1,1,1,0
9097,110,2,9,11,111,8,1973,0,1961,1,1,1,1,0
9126,192,5,9,5,52,2,1973,1,1970,0,1,1,0,0
2040,6,1,2,32,321,8,1973,1,1949,3,1,1,1,0
4044,184,1,4,46,461,7,1973,0,1967,1,1,1,1,0
88009,230,15,88,55,551,6,1973,0,1971,0,1,1,0,0
4042,82,1,4,48,481,8,1973,0,1965,1,1,1,1,0
9069,110,2,9,11,111,12,1972,0,1972,0,1,1,0,0
7012,136,1,7,49,492,6,1973,0,1965,1,1,1,1,0
3015,152,5,3,30,301,8,1973,0,1962,1,1,1,1,0
10041,222,1,10,16,161,1,1973,0,1962,0,1,1,1,0
6069,71,1,6,35,353,8,1973,1,1971,0,1,1,0,0
6025,167,1,6,17,172,9,1973,1,1965,1,1,1,1,0
